Ensembl Gene ID	Associated Gene Name	SGD Gene	UniProt/SwissProt Accession
YAL024C	LTE1	S000000022	P07866
YKL202W		S000001685	P36042
YKL187C	FAT3	S000001670	P34231
YDR383C	NKP1	S000002791	Q12493
YDR396W		S000002804	O13522
YGR115C		S000003347	P53269
YKL055C	OAR1	S000001538	P35731
YDR035W	ARO3	S000002442	P14843
YBL062W		S000000158	P38189
YHR160C	PEX18	S000001203	P38855
YGR047C	TFC4	S000003279	P33339
YDR119W	VBA4	S000002526	Q04602
YBR208C	DUR1,2	S000000412	P32528
YER151C	UBP3	S000000953	Q01477
YLR070C	XYL2	S000004060	Q07993
YPR019W	MCM4	S000006223	P30665
YPL228W	CET1	S000006149	O13297
YPR190C	RPC82	S000006394	P32349
YGR041W	BUD9	S000003273	P53226
YDR353W	TRR1	S000002761	P29509
YHR097C		S000001139	P38809
YPL047W	SGF11	S000005968	Q03067
YPL014W		S000005935	Q02606
YGR007W	ECT1	S000003239	P33412
YML116W	ATR1	S000004584	P13090
YOL137W	BSC6	S000005497	Q08280
YGL155W	CDC43	S000003123	P18898
YER061C	CEM1	S000000863	P39525
YKL214C	YRA2	S000001697	P36036
YPL119C	DBP1	S000006040	P24784
YDL125C	HNT1	S000002283	Q04344
YHR186C	KOG1	S000001229	P38873
YKL011C	CCE1	S000001494	Q03702
YLL019C	KNS1	S000003942	P32350
YNL257C	SIP3	S000005201	P38717
YGL199C		S000003167	P53092
YJR092W	BUD4	S000003852	P47136
YDR010C		S000002417	Q12426
YBL059W		S000000155	P34224
YBR291C	CTP1	S000000495	P38152
YPL189C-A	COA2	S000028527	Q3E823
YDR262W		S000002670	Q12331
YFL012W		S000001882	P43580
YLR078C	BOS1	S000004068	P25385
YDR072C	IPT1	S000002479	P38954
YDR179C	CSN9	S000002586	Q03981
YKL153W		S000001636	P36058
YOR108C-A		S000028711	Q8TGL6
YGR220C	MRPL9	S000003452	P31334
YIL053W	GPP1	S000001315	P41277
YMR161W	HLJ1	S000004771	P48353
YER011W	TIR1	S000000813	P10863
YDR258C	HSP78	S000002666	P33416
YDR467C		S000002875	P87264
YGL162W	SUT1	S000003130	P53032
YNL243W	SLA2	S000005187	P33338
