Ensembl Gene ID	Associated Gene Name	SGD Gene	UniProt/SwissProt Accession
YHR181W	SVP26	S000001224	P38869
YPL267W	ACM1	S000006188	Q08981
YOL051W	GAL11	S000005411	P19659
YDR188W	CCT6	S000002596	P39079
YMR243C	ZRC1	S000004856	P20107
YAL067W-A		S000028593	Q8TGK6
YLR154W-F		S000028843	P0C5Q0
YNR034W-A		S000007525	Q3E841
YCR049C		S000000645	P25629
YHR180W		S000001223	P38868
YEL023C		S000000749	P39992
YNL057W		S000005002	P53948
YNL045W	LAP2	S000004990	Q10740
YPL080C		S000006001	Q02826
YPR141C	KAR3	S000006345	P17119
YJR061W		S000003822	P40355
YIL104C	SHQ1	S000001366	P40486
YLL035W	GRC3	S000003958	Q07845
YHR214C-C		S000007421	P0C2I4
YNL282W	POP3	S000005226	P53833
YNL338W		S000005282	P53820
YLR424W	SPP382	S000004416	Q06411
YBR243C	ALG7	S000000447	P07286
YDR520C	URC2	S000002928	Q04411
YFL064C		S000001830	P43540
YGL137W	SEC27	S000003105	P41811
YMR234W	RNH1	S000004847	Q04740
YNL212W	VID27	S000005156	P40157
YJL026C-A		S000028660	Q8TGJ8
YMR112C	MED11	S000004718	Q99278
YGL212W	VAM7	S000003180	P32912
YHR005C-A	TIM10	S000003530	P87108
YHL009W-A		S000007371	Q6Q5P6
YHL009W-A		S000007371	P47023
YJL156W-A		S000007613	P0C5N9
YJL134W	LCB3	S000003670	P47013
YLR454W	FMP27	S000004446	Q06179
YJL127C-B		S000028522	Q3E828
YOR105W		S000005631	Q08504
YDR080W	VPS41	S000002487	P38959
YKL064W	MNR2	S000001547	P35724
YNR023W	SNF12	S000005306	P53628
YBL096C		S000000192	P38171
YPL253C	VIK1	S000006174	Q12045
YHR073C-B		S000028833	P0C5N4
YLR261C	VPS63	S000004251	O13549
YBR096W		S000000300	P38256
YJR042W	NUP85	S000003803	P46673
YGR150C	CCM1	S000003382	P48237
YDR089W		S000002496	P38966
YGR074W	SMD1	S000003306	Q02260
YLR390W-A	CCW14	S000006429	O13547
YGL180W	ATG1	S000003148	P53104
YHR043C	DOG2	S000001085	P38773
YPR101W	SNT309	S000006305	Q06091
YBR146W	MRPS9	S000000350	P38120
YDR017C	KCS1	S000002424	Q12494
YDR085C	AFR1	S000002492	P33304
YHR011W	DIA4	S000001053	P38705
YKL053W		S000001536	P35733
YPL043W	NOP4	S000005964	P37838
YPR146C		S000006350	O13571
YDL235C	YPD1	S000002394	Q07688
YCL041C		S000000546	P25571
YLR278C		S000004268	Q05854
YGL158W	RCK1	S000003126	P38622
YHR070C-A		S000028780	
YLR348C	DIC1	S000004340	Q06143
YGR186W	TFG1	S000003418	P41895
YAL028W	FRT2	S000000026	P39734
YDL002C	NHP10	S000002160	Q03435
YDR099W	BMH2	S000002506	P34730
YJL213W		S000003749	P40896
YNL278W	CAF120	S000005222	P53836
YNL173C	MDG1	S000005117	P53885
YLR313C	SPH1	S000004305	Q06160
YMR216C	SKY1	S000004829	Q03656
YER039C-A		S000007226	P0CD97
YJL009W		S000003546	P47078
YLR196W	PWP1	S000004186	P21304
YMR306W	FKS3	S000004923	Q04952
YBR085C-A		S000007522	O43137
YDL059C	RAD59	S000002217	Q12223
YOR329C	SCD5	S000005856	P34758
YHL035C	VMR1	S000001027	P38735
YHL004W	MRP4	S000000996	P32902
YJR116W	TDA4	S000003877	P47153
YBR073W	RDH54	S000000277	P38086
YDR449C	UTP6	S000002857	Q02354
YPR064W		S000006268	Q12492
YDL088C	ASM4	S000002246	Q05166
YBR215W	HPC2	S000000419	Q01448
YDR435C	PPM1	S000002843	Q04081
YNL161W	CBK1	S000005105	P53894
YLR331C	JIP3	S000004323	O13555
YDL052C	SLC1	S000002210	P33333
YFL058W	THI5	S000001836	P43534
YGR295C	COS6	S000003527	P53344
YFR031C	SMC2	S000001927	P38989
YMR144W		S000004752	P40214
YBR084C-A	RPL19A	S000002156	P0CX82
YBR084C-A	RPL19A	S000002156	P0CX83
YDR161W		S000002568	Q03771
YER062C	GPP2	S000000864	P40106
YCR068W	ATG15	S000000664	P25641
YPR051W	MAK3	S000006255	Q03503
YCR094W	CDC50	S000000690	P25656
YLR253W	MCP2	S000004243	Q06567
YOR285W	RDL1	S000005811	Q12305
YJL001W	PRE3	S000003538	P38624
YGR068W-A		S000028637	Q8TGN8
YLL022C	HIF1	S000003945	Q12373
YGL237C	HAP2	S000003206	P06774
YHR067W	HTD2	S000001109	P38790
YOR266W	PNT1	S000005792	P38969
YBR044C	TCM62	S000000248	P38228
YDR120C	TRM1	S000002527	P15565
YLR071C	RGR1	S000004061	P19263
YGR151C		S000003383	P53287
YJL012C	VTC4	S000003549	P47075
YER126C	NSA2	S000000928	P40078
YMR246W	FAA4	S000004860	P47912
YLR201C	COQ9	S000004191	Q05779
YPL031C	PHO85	S000005952	P17157
YJL098W	SAP185	S000003634	P40856
Q0142		S000007276	Q9ZZW4
YBR059C	AKL1	S000000263	P38080
YDR445C		S000002853	Q04100
YFL015W-A		S000028765	
YGR020C	VMA7	S000003252	P39111
YHR091C	MSR1	S000001133	P38714
YIR039C	YPS6	S000001478	P40583
YAR047C		S000000083	P39557
YML066C	SMA2	S000004531	Q04658
YDR501W	PLM2	S000002909	Q04383
YNL088W	TOP2	S000005032	P06786
YKR043C	SHB17	S000001751	P36136
YNL053W	MSG5	S000004998	P38590
YDR137W	RGP1	S000002544	P16664
YDR400W	URH1	S000002808	Q04179
YBR231C	SWC5	S000000435	P38326
YDL120W	YFH1	S000002278	Q07540
YER082C	UTP7	S000000884	P40055
YHL043W	ECM34	S000001035	P38728
YLR151C	PCD1	S000004141	Q12524
YFR021W	ATG18	S000001917	P43601
YML121W	GTR1	S000004590	Q00582
YNL033W		S000004978	P53964
YLR310C	CDC25	S000004301	P04821
YDR048C		S000002455	
YGR087C	PDC6	S000003319	P26263
YGR244C	LSC2	S000003476	P53312
YGL255W	ZRT1	S000003224	P32804
YNL036W	NCE103	S000004981	P53615
YHR046C	INM1	S000001088	P38710
YKR071C	DRE2	S000001779	P36152
YOR016C	ERP4	S000005542	Q12450
YGR063C	SPT4	S000003295	P32914
YLL019W-A		S000028670	Q8TGM8
YML065W	ORC1	S000004530	P54784
YPR005C	HAL1	S000006209	Q01766
YAR003W	SWD1	S000000064	P39706
YGR223C	HSV2	S000003455	P50079
YHR021W-A	ECM12	S000003531	O13529
YFL062W	COS4	S000001832	P43542
YDR537C		S000002945	P87261
YMR267W	PPA2	S000004880	P28239
YPL093W	NOG1	S000006014	Q02892
YJR034W	PET191	S000003795	Q02772
YNL077W	APJ1	S000005021	P53940
YPL160W	CDC60	S000006081	P26637
YGL185C		S000003153	P53100
YDR456W	NHX1	S000002864	Q04121
YKL175W	ZRT3	S000001658	P34240
YGL190C	CDC55	S000003158	Q00362
YMR262W		S000004875	P38430
YOR101W	RAS1	S000005627	P01119
YGL005C	COG7	S000002973	P53195
YNL125C	ESBP6	S000005069	P53918
YBL019W	APN2	S000000115	P38207
YBR043C	QDR3	S000000247	P38227
YDL231C	BRE4	S000002390	Q07660
YML101C	CUE4	S000004568	Q04201
YKL037W	AIM26	S000001520	P32858
YOL094C	RFC4	S000005454	P40339
YMR077C	VPS20	S000004682	Q04272
YPR007C	REC8	S000006211	Q12188
YIL067C		S000001329	P40514
YMR108W	ILV2	S000004714	P07342
YJL033W	HCA4	S000003570	P20448
YKL179C	COY1	S000001662	P34237
YPL126W	NAN1	S000006047	Q02931
YEL041W	YEF1	S000000767	P32622
YGL208W	SIP2	S000003176	P34164
YLL036C	PRP19	S000003959	P32523
YNL113W	RPC19	S000005057	P28000
YKR099W	BAS1	S000001807	P22035
YGL025C	PGD1	S000002993	P40356
YBR171W	SEC66	S000000375	P33754
YDL005C	MED2	S000002163	Q12124
YNL031C	HHT2	S000004976	P61830
YGR226C		S000003458	P50083
YOR146W		S000005672	Q08533
YDL056W	MBP1	S000002214	P39678
YML120C	NDI1	S000004589	P32340
YOR384W	FRE5	S000005911	Q08908
YLL021W	SPA2	S000003944	P23201
YGR048W	UFD1	S000003280	P53044
YOL149W	DCP1	S000005509	Q12517
YHR032W-A		S000028831	P0C5N6
YML129C	COX14	S000004598	P39103
YIL059C		S000001321	P40520
YBR220C		S000000424	P38318
YLR317W		S000004309	O13553
YPL058C	PDR12	S000005979	Q02785
YOL154W	ZPS1	S000005514	Q12512
YBR227C	MCX1	S000000431	P38323
YER165W	PAB1	S000000967	P04147
YNR056C	BIO5	S000005339	P53744
YNL327W	EGT2	S000005271	P42835
YOR130C	ORT1	S000005656	Q12375
YJL181W		S000003717	P46987
YDL039C	PRM7	S000002197	Q12459
YER016W	BIM1	S000000818	P40013
YPL099C	INA17	S000006020	Q02888
YNL242W	ATG2	S000005186	P53855
YDR365W-B		S000007401	Q07163
YDR365W-B		S000007401	P0C2I3
YDR365W-B		S000007401	P0C2I7
YLR099W-A	MIM2	S000007618	Q3E798
YMR058W	FET3	S000004662	P38993
YNL297C	MON2	S000005241	P48563
YAL018C	LDS1	S000000016	P31379
YOL078W	AVO1	S000005438	Q08236
YEL002C	WBP1	S000000728	P33767
YJL156C	SSY5	S000003692	P47002
YCL032W	STE50	S000000537	P25344
YMR166C		S000004776	Q03829
YNL146C-A		S000028851	Q3E7Z1
YDR034C-A		S000007233	P0C289
YPL050C	MNN9	S000005971	P39107
YDR510W	SMT3	S000002918	Q12306
YER158W-A		S000028624	Q8TGR3
YLR327C	TMA10	S000004319	Q06177
YPL277C		S000006198	Q08989
YOR139C		S000005665	Q08532
YBR116C		S000000320	P38268
YLR142W	PUT1	S000004132	P09368
YPL257W		S000006178	Q08974
YLR104W	LCL2	S000004094	Q08045
YNL222W	SSU72	S000005166	P53538
YKR051W		S000001759	P36142
YLR291C	GCD7	S000004282	P32502
YBR293W	VBA2	S000000497	P38358
YLR412W	BER1	S000004404	Q06688
YFR040W	SAP155	S000001936	P43612
YNR067C	DSE4	S000005350	P53753
YNL074C	MLF3	S000005018	P32047
YBR021W	FUR4	S000000225	P05316
YML021C	UNG1	S000004483	P12887
YER038C	KRE29	S000000840	P40026
YNL044W	YIP3	S000004989	P53633
YHR007C-A		S000028830	Q07074
YER060W-A	FCY22	S000002958	Q12119
YDR203W		S000002611	
YER173W	RAD24	S000000975	P32641
YOR190W	SPR1	S000005716	P32603
YML048W	GSF2	S000004511	Q04697
YBR130C	SHE3	S000000334	P38272
YPR072W	NOT5	S000006276	Q12514
YFR012W-A		S000007606	Q3E838
YHR048W	YHK8	S000001090	P38776
YHL006C	SHU1	S000000998	P38751
YHL034C	SBP1	S000001026	P10080
YDR418W	RPL12B	S000002826	P0CX53
YDR418W	RPL12B	S000002826	P0CX54
YGR270C-A		S000028641	Q8TGN7
YLR183C	TOS4	S000004173	Q06266
YIR024C	INA22	S000001463	P40576
YCR038C	BUD5	S000000634	P25300
YOL155C	HPF1	S000005515	Q05164
YIL009C-A	EST3	S000006432	Q03096
YJR040W	GEF1	S000003801	P37020
YJL037W	IRC18	S000003574	P47056
YOR059C	LPL1	S000005585	Q08448
YMR325W	PAU19	S000004944	P0CE85
YGL149W		S000003117	P53116
YGR271W	SLH1	S000003503	P53327
YGR173W	RBG2	S000003405	P53295
YNR002C	ATO2	S000005285	P32907
YMR172C-A		S000004782	
YIL158W	AIM20	S000001420	P40451
YBR086C	IST2	S000000290	P38250
YLR361C-A		S000028845	Q3E795
YOR027W	STI1	S000005553	P15705
YER048W-A	ISD11	S000007237	Q6Q560
YML090W		S000004555	Q04501
YDR210W-B		S000007393	Q03494
YDR210W-B		S000007393	P0C2J5
YHR164C	DNA2	S000001207	P38859
YGR278W	CWC22	S000003510	P53333
Q0085	ATP6	S000007268	P00854
YPR150W		S000006354	O13572
YKL204W	EAP1	S000001687	P36041
YDR462W	MRPL28	S000002870	P36527
YMR273C	ZDS1	S000004886	P50111
YJL162C	JJJ2	S000003698	P46997
YMR175W-A		S000028848	Q3E766
YLL054C		S000003977	Q12244
YDL055C	PSA1	S000002213	P41940
YPR080W	TEF1	S000006284	P02994
YFL017W-A	SMX2	S000002965	P40204
YOL019W		S000005379	Q08157
YGL127C	SOH1	S000003095	P38633
YLR266C	PDR8	S000004256	Q06149
YGR268C	HUA1	S000003500	P40325
YHL033C	RPL8A	S000001025	P17076
YGL063C-A		S000028633	Q8TGP0
YKR076W	ECM4	S000001784	P36156
YJR130C	STR2	S000003891	P47164
YEL007W	MIT1	S000000733	P40002
YMR285C	NGL2	S000004898	Q03264
YBR104W	YMC2	S000000308	P38087
YPL263C	KEL3	S000006184	Q08979
YER096W	SHC1	S000000898	P39000
YOR325W		S000005852	Q12261
YIL128W	MET18	S000001390	P40469
YDR311W	TFB1	S000002719	P32776
YKL088W	CAB3	S000001571	P36076
YJL046W	AIM22	S000003582	P47051
YLR228C	ECM22	S000004218	Q05958
YER053C-A		S000007523	Q3E7B0
YKL056C	TMA19	S000001539	P35691
YPL037C	EGD1	S000005958	Q02642
YDR459C	PFA5	S000002867	Q03289
YOR357C	SNX3	S000005884	Q08826
YNR004W	SWM2	S000005287	P40342
YNL192W	CHS1	S000005136	P08004
YGL068W	MNP1	S000003036	P53163
YNL339W-B		S000028704	P0CL34
YNL339W-B		S000028704	P0CL35
YNL339W-B		S000028704	P0CL36
YKL096C-B		S000028667	Q8TGT2
YDL157C		S000002316	Q12082
YOR007C	SGT2	S000005533	Q12118
YJL029C	VPS53	S000003566	P47061
YBR105C	VID24	S000000309	P38263
YDL013W	SLX5	S000002171	P32828
YJR052W	RAD7	S000003813	P06779
YGL200C	EMP24	S000003168	P32803
YNL194C		S000005138	P40169
YDR260C	SWM1	S000002668	Q12379
YPL012W	RRP12	S000005933	Q12754
YBL047C	EDE1	S000000143	P34216
YKR001C	VPS1	S000001709	P21576
YNR072W	HXT17	S000005355	P53631
YLR157W-E		S000028678	P0CF00
YBR154C	RPB5	S000000358	P20434
YPL156C	PRM4	S000006077	Q12498
YKL048C	ELM1	S000001531	P32801
YJL020C	BBC1	S000003557	P47068
YPL105C	SYH1	S000006026	Q02875
YLR251W	SYM1	S000004241	Q06563
YHR049C-A		S000003532	
YGR113W	DAM1	S000003345	P53267
YEL018C-A		S000028742	
YHL006W-A		S000028771	
YGL008C	PMA1	S000002976	P05030
YBR253W	SRB6	S000000457	P32570
YLR212C	TUB4	S000004202	P53378
YCR020C	PET18	S000000613	P25362
YDR340W		S000002748	Q05503
YJR141W		S000003902	P47172
YHR060W	VMA22	S000001102	P38784
YDR361C	BCP1	S000002769	Q06338
YPL009C	TAE2	S000005930	Q12532
YNL027W	CRZ1	S000004972	P53968
YNL065W	AQR1	S000005009	P53943
YNL211C		S000005155	P53869
YHL038C	CBP2	S000001030	P03874
YPL070W	MUK1	S000005991	Q02866
YOL111C	MDY2	S000005471	Q12285
YDR075W	PPH3	S000002482	P32345
YER009W	NTF2	S000000811	P33331
YMR219W	ESC1	S000004832	Q03661
YFL034C-B	MOB2	S000001859	P43563
YIR011C	STS1	S000001450	P38637
YMR297W	PRC1	S000004912	P00729
YIL139C	REV7	S000001401	P38927
YJR021C	REC107	S000003782	P21651
YDR254W	CHL4	S000002662	P38907
YNL301C	RPL18B	S000005245	P0CX49
YNL301C	RPL18B	S000005245	P0CX50
YPL005W	AEP3	S000005926	Q12089
YGL105W	ARC1	S000003073	P46672
YBR255C-A		S000007649	Q3E776
YDL224C	WHI4	S000002383	Q07655
YKL188C	PXA2	S000001671	P34230
YGR090W	UTP22	S000003322	P53254
YKL062W	MSN4	S000001545	P33749
YER044C	ERG28	S000000846	P40030
YNL315C	ATP11	S000005259	P32453
YLL049W	LDB18	S000003972	Q07887
YKL216W	URA1	S000001699	P28272
YJL158C	CIS3	S000003694	P47001
YDR162C	NBP2	S000002569	Q12163
YCR024C-B		S000028818	Q3E7Z8
YJL202C		S000003738	P39532
YCR059C	YIH1	S000000655	P25637
YDL183C		S000002342	P48569
YKR046C	PET10	S000001754	P36139
YCL039W	GID7	S000000544	P25569
YER140W	EMP65	S000000942	P40085
YPL069C	BTS1	S000005990	Q12051
YOR386W	PHR1	S000005913	P05066
YLR365W		S000004357	Q7LIF2
YPL151C	PRP46	S000006072	Q12417
YNL042W	BOP3	S000004987	P53958
YHR207C	SET5	S000001250	P38890
YCR064C		S000000660	P25640
YDR171W	HSP42	S000002578	Q12329
YPL157W	TGS1	S000006078	Q12052
YLR227W-A		S000007375	P0CX74
YLR227W-A		S000007375	P0CX75
YLR227W-A		S000007375	P0CX76
YDR479C	PEX29	S000002887	Q03370
YAL034W-A	MTW1	S000000032	P39731
YBR013C		S000000217	P38215
YOR258W	HNT3	S000005784	Q08702
YNR057C	BIO4	S000005340	P53630
YJL113W		S000003649	
YIL015W	BAR1	S000001277	P12630
YGR161W-C		S000029726	Q3E744
YHR127W		S000001169	P38833
YFL018C	LPD1	S000001876	P09624
YNL328C	MDJ2	S000005272	P42834
YCL049C		S000000554	P25577
YLR072W		S000004062	Q08001
YHR111W	UBA4	S000001153	P38820
YGL055W	OLE1	S000003023	P21147
YBR288C	APM3	S000000492	P38153
YOL055C	THI20	S000005416	Q08224
YOR347C	PYK2	S000005874	P52489
YGL065C	ALG2	S000003033	P43636
YHR013C	ARD1	S000001055	P07347
YOR307C	SLY41	S000005834	P22215
YAL042C-A		S000002138	O13514
YNL144C		S000005088	P53907
YIR038C	GTT1	S000001477	P40582
YLR230W		S000004220	
YAL046C	AIM1	S000000044	P39724
YPL193W	RSA1	S000006114	Q08932
YER147C-A		S000028759	
YJL045W		S000003581	P47052
YGR208W	SER2	S000003440	P42941
YDR347W	MRP1	S000002755	P10662
YER190C-B		S000028627	P0CX95
YER190C-B		S000028627	P0CX94
YER190C-B		S000028627	P0CX96
YER190C-B		S000028627	P0CX98
YER190C-B		S000028627	P0CX97
YKR078W		S000001786	P36158
YDR201W	SPC19	S000002609	Q03954
YPR087W	VPS69	S000006291	O13584
YLR027C	AAT2	S000004017	P23542
YOR275C	RIM20	S000005801	Q12033
YML077W	BET5	S000004542	Q03630
YGL245W	GUS1	S000003214	P46655
YHR058C	MED6	S000001100	P38782
YPR181C	SEC23	S000006385	P15303
YDL025W-A		S000028610	Q8TGP7
YER190W	YRF1-2	S000000992	P40105
YBR106W	PHO88	S000000310	P38264
YHR018C	ARG4	S000001060	P04076
YPL197C		S000006118	Q08953
YBR170C	NPL4	S000000374	P33755
YMR304W	UBP15	S000004920	P50101
YDL211C		S000002370	Q12121
YPL078C	ATP4	S000005999	P05626
YDR273W	DON1	S000002681	Q05610
YOL007C	CSI2	S000005367	Q08054
YDR399W	HPT1	S000002807	Q04178
YLR064W	PER33	S000004054	Q12144
YKL181W	PRS1	S000001664	P32895
YML047W-A		S000004512	
YGR192C	TDH3	S000003424	P00359
YGL045W	RIM8	S000003013	P53179
YDL078C	MDH3	S000002236	P32419
YOL041C	NOP12	S000005401	Q08208
YMR226C		S000004839	Q05016
YHR200W	RPN10	S000001243	P38886
YDR524C	AGE1	S000002932	Q04412
YLR111W		S000004101	Q12528
YBR219C		S000000423	P38317
YMR122C		S000004729	Q03879
YGR270W	YTA7	S000003502	P40340
YPR125W	YLH47	S000006329	Q06493
YEL046C	GLY1	S000000772	P37303
YIR015W	RPR2	S000001454	P40571
YGR136W	LSB1	S000003368	P53281
YMR242C	RPL20A	S000004855	P0CX23
YMR242C	RPL20A	S000004855	P0CX24
YLR379W		S000004371	O13579
YDR204W	COQ4	S000002612	O13525
YPL161C	BEM4	S000006082	P39011
YMR145C	NDE1	S000004753	P40215
YIR017W-A		S000028799	Q03885
YLL031C	GPI13	S000003954	Q07830
YDR300C	PRO1	S000002708	P32264
YLR229C	CDC42	S000004219	P19073
YLR421C	RPN13	S000004413	O13563
YJR151C	DAN4	S000003912	P47179
YMR307C-A		S000028578	P0C5Q5
YPL096W	PNG1	S000006017	Q02890
YML038C	YMD8	S000004502	Q03697
YJL082W	IML2	S000003618	P47031
YIL006W	YIA6	S000001268	P40556
YLR392C	ART10	S000004384	P18634
YGR075C	PRP38	S000003307	Q00723
YBR268W	MRPL37	S000000472	P36532
YDR316W	OMS1	S000002724	Q06668
YNR070W	PDR18	S000005353	P53756
YKR020W	VPS51	S000001728	P36116
YOL164W-A		S000028580	Q3E7A5
YPR142C		S000006346	O13570
YNL145W	MFA2	S000005089	P34166
YHR068W	DYS1	S000001110	P38791
YEL010W		S000000736	P40000
YOL013W-B		S000007252	Q870I1
YGL160W	AIM14	S000003128	P53109
YGR042W		S000003274	P53227
YDR430C	CYM1	S000002838	P32898
YPR160W	GPH1	S000006364	P06738
YER007W	PAC2	S000000809	P39937
YGR095C	RRP46	S000003327	P53256
YCR041W		S000000637	P37265
YFL033C	RIM15	S000001861	P43565
YDL089W	NUR1	S000002247	Q12066
YDR522C	SPS2	S000002930	P08459
YEL062W	NPR2	S000000788	P39923
YBR026C	ETR1	S000000230	P38071
YLR143W	DPH6	S000004133	Q12429
YMR125W	STO1	S000004732	P34160
YLR126C		S000004116	Q12288
YGL086W	MAD1	S000003054	P40957
YNL129W	NRK1	S000005073	P53915
YGL048C	RPT6	S000003016	Q01939
YER106W	MAM1	S000000908	P40065
YBR083W	TEC1	S000000287	P18412
YJR012C		S000003773	P47087
YGR169C	PUS6	S000003401	P53294
YDR509W		S000002917	P87272
Q0010		S000007257	Q9ZZX9
YMR074C		S000004678	Q04773
YJL127W-A		S000007612	P0C5P1
YDR341C		S000002749	Q05506
YDR521W		S000002929	P87273
YMR269W	TMA23	S000004882	Q03525
YJR112W-A		S000028513	Q3E743
YHR138C		S000001180	P38841
YBL039C-A		S000028814	P0C5K9
YFL021W	GAT1	S000001873	P43574
YPL144W	POC4	S000006065	Q12245
YML026C	RPS18B	S000004488	P0CX55
YML026C	RPS18B	S000004488	P0CX56
YEL053C	MAK10	S000000779	Q02197
YHL020C	OPI1	S000001012	P21957
YGR106C	VOA1	S000003338	P53262
YLR444C		S000004436	O13560
YJR128W		S000003889	P47162
YMR194C-B	CMC4	S000028514	Q3E7A9
YLR452C	SST2	S000004444	P11972
YMR005W	TAF4	S000004607	P50105
YOL099C		S000005459	Q08240
YLR363C	NMD4	S000004355	Q12129
YIL023C	YKE4	S000001285	P40544
YGL115W	SNF4	S000003083	P12904
YKL138C	MRPL31	S000001621	P14063
YOL109W	ZEO1	S000005469	Q08245
YGL002W	ERP6	S000002970	P53198
YOR312C	RPL20B	S000005839	P0CX23
YOR312C	RPL20B	S000005839	P0CX24
YLR179C		S000004169	Q06252
YNL230C	ELA1	S000005174	P53861
YHL028W	WSC4	S000001020	P38739
YCR015C		S000000608	P25616
YPR199C	ARR1	S000006403	Q06596
YMR313C	TGL3	S000004930	P40308
YLR361C	DCR2	S000004353	Q05924
YBR077C	SLM4	S000000281	P38247
YOR298W	MUM3	S000005824	Q08750
YDR380W	ARO10	S000002788	Q06408
YMR135W-A		S000004743	Q6B0X1
YGL226C-A	OST5	S000003194	Q92316
YDL177C		S000002336	Q12257
YOL084W	PHM7	S000005444	Q12252
YLR069C	MEF1	S000004059	P25039
YDR060W	MAK21	S000002467	Q12176
YDL096C	OPI6	S000002254	Q07521
YGR149W		S000003381	P48236
YPL213W	LEA1	S000006134	Q08963
YPL203W	TPK2	S000006124	P06245
YLL041C	SDH2	S000003964	P21801
YGL258W-A		S000007607	Q3E740
YBL026W	LSM2	S000000122	P38203
YBR076C-A		S000028533	P0C5L2
YNR021W		S000005304	P53723
YGR080W	TWF1	S000003312	P53250
YBL055C		S000000151	P34220
YBR195C	MSI1	S000000399	P13712
YCR096C	HMRA2	S000000692	P0CY13
YCR096C	HMRA2	S000000692	P0CY12
YIL172C	IMA3	S000001434	P0CW40
YIL172C	IMA3	S000001434	P0CW41
YPL191C		S000006112	Q08930
YMR013C	SEC59	S000004615	P20048
YPL148C	PPT2	S000006069	Q12036
YFL038C	YPT1	S000001856	P01123
YPL088W		S000006009	Q02895
YPL240C	HSP82	S000006161	P02829
YIL037C	PRM2	S000001299	P40534
YGL145W	TIP20	S000003113	P33891
YLR232W		S000004222	O13546
YNL004W	HRB1	S000004949	P38922
YPR060C	ARO7	S000006264	P32178
YEL018W	EAF5	S000000744	P39995
YEL043W		S000000769	P32618
YHR069C	RRP4	S000001111	P38792
YLR323C	CWC24	S000004315	P53769
YGL172W	NUP49	S000003140	Q02199
YPL053C	KTR6	S000005974	P54070
YJR070C	LIA1	S000003831	P47120
YPL283C	YRF1-7	S000006204	P0CX14
YPL283C	YRF1-7	S000006204	P0CX15
YDL143W	CCT4	S000002302	P39078
YDR257C	RKM4	S000002665	Q12504
YKL162C		S000001645	P36052
YHL027W	RIM101	S000001019	P33400
YAR068W		S000000091	P39564
YMR290C	HAS1	S000004903	Q03532
YGR296C-A		S000028642	P0CL27
YGR296C-A		S000028642	P0CL28
YGR296C-A		S000028642	P0CL29
YGR296C-A		S000028642	P0CL30
YGR296C-A		S000028642	P0CL31
YDL021W	GPM2	S000002179	Q12008
YDR452W	PPN1	S000002860	Q04119
YPL211W	NIP7	S000006132	Q08962
YBR074W	PFF1	S000000278	P38244
YAL038W	CDC19	S000000036	P00549
YBL071W-A	KTI11	S000007587	Q3E840
YMR024W	MRPL3	S000004626	P36516
YOL047C	LDS2	S000005407	Q08218
YDL018C	ERP3	S000002176	Q12403
YLR147C	SMD3	S000004137	P43321
YIL061C	SNP1	S000001323	Q00916
YML012W	ERV25	S000004473	P54837
YHR187W	IKI1	S000001230	P38874
Q0250	COX2	S000007281	P00410
YGR155W	CYS4	S000003387	P32582
YLR155C	ASP3-1	S000004145	P0CZ17
YLR155C	ASP3-1	S000004145	P0CX77
YLR155C	ASP3-1	S000004145	P0CX78
YLR155C	ASP3-1	S000004145	P0CX79
YLR136C	TIS11	S000004126	P47977
YKR015C		S000001723	P36111
YDL060W	TSR1	S000002218	Q07381
YLR320W	MMS22	S000004312	Q06164
YIL069C	RPS24B	S000001331	P0CX31
YIL069C	RPS24B	S000001331	P0CX32
YHR075C	PPE1	S000001117	P38796
YIL085C	KTR7	S000001347	P40504
YGL195W	GCN1	S000003163	P33892
YDR062W	LCB2	S000002469	P40970
YOL119C	MCH4	S000005479	Q08268
YJR105W	ADO1	S000003866	P47143
YNL289W	PCL1	S000005233	P24867
YER161C	SPT2	S000000963	P06843
YNR036C	MRPS12	S000005319	P53732
YAL067C	SEO1	S000000062	P39709
YMR247C	RKR1	S000004861	Q04781
YOR316C-A		S000028584	Q3E806
YJL096W	MRPL49	S000003632	P40858
YMR111C		S000004717	Q04461
YBR136W	MEC1	S000000340	P38111
YKL059C	MPE1	S000001542	P35728
YGR018C		S000003250	P53211
YMR090W		S000004696	Q04304
YNR061C		S000005344	P53747
YGR119C	NUP57	S000003351	P48837
YGR235C	MIC26	S000003467	P50087
YER121W		S000000923	P40076
YJL204C	RCY1	S000003740	P39531
YER180C-A	SLO1	S000028437	Q3E784
YMR294W-A		S000004909	
YGR209C	TRX2	S000003441	P22803
YMR306C-A		S000004922	
YNL154C	YCK2	S000005098	P23292
YDL012C		S000002170	Q12489
YBL064C	PRX1	S000000160	P34227
YDL181W	INH1	S000002340	P01097
YOR392W		S000005919	Q08915
YMR133W	REC114	S000004740	P32841
YKL029C	MAE1	S000001512	P36013
YPR106W	ISR1	S000006310	Q06098
YNL039W	BDP1	S000004984	P46678
YDL149W	ATG9	S000002308	Q12142
YER170W	ADK2	S000000972	P26364
YDR009W	GAL3	S000002416	P13045
YBR282W	MRPL27	S000000486	P36526
YGR187C	HGH1	S000003419	P48362
YLR007W	NSE1	S000003997	Q07913
YPL269W	KAR9	S000006190	P32526
Q0110	BI2	S000007271	P03873
YER013W	PRP22	S000000815	P24384
YER060W	FCY21	S000000862	P40039
YDR407C	TRS120	S000002815	Q04183
YHR137W	ARO9	S000001179	P38840
