"proteinID","geneName","ratio0","ratio120","target","binder"
"YLR150W","STM1",0,0.103128316217225,TRUE,"fun12"
"YLR249W","YEF3",0.113700499164728,0.0144981269993528,TRUE,"fun12"
"YLR369W","SSQ1",0,-1.42705214001188,FALSE,"fun12"
"YML128C","MSC1",0,-1.51927990609647,FALSE,"fun12"
"YMR031C","EIS1",0,-1.60968450266725,FALSE,"fun12"
"YMR108W","ILV2",0,-0.0543323730354832,TRUE,"fun12"
"YMR120C","ADE17",0.0824300999459491,1.02779101859043,FALSE,"fun12"
"YNL112W","DBP2",0,-0.0671224398537534,TRUE,"fun12"
"YOR197W","MCA1",0,-1.04549098445108,FALSE,"fun12"
"YPL019C","VTC3",0,1.35066696592921,FALSE,"fun12"
"YPL106C","SSE1",-0.163445642082228,0.0749164020524617,TRUE,"fun12"
"YPL231W","FAS2",0.0725860470685965,0.0284277045726673,TRUE,"fun12"
"YPR062W","FCY1",0,-0.0713605885197893,TRUE,"fun12"
"YPR189W","SKI3",0,-1.84197326319669,FALSE,"fun12"
"Q0120","BI4",0,1.36092607368487,FALSE,"gcn20"
"YFL016C","MDJ1",0,-1.26458180447156,FALSE,"gcn20"
"YJL130C","URA2",0,-1.03898425017682,FALSE,"gcn20"
"YKL148C;YJL045W","SDH1",0,1.02133758296569,FALSE,"gcn20"
"YLR399C","BDF1",0,-1.02113078168334,FALSE,"gcn20"
"YNL036W","NCE103",0,-1.02517703902317,FALSE,"gcn20"
"YNL185C","MRPL19",0,1.31631955050282,FALSE,"gcn20"
"YNR015W","SMM1",0,1.6185205879888,FALSE,"gcn20"
"YPL231W","FAS2",0,-0.0879940311404055,TRUE,"gcn20"
"YBR247C","ENP1",0,-2.1793186075887,FALSE,"gde1"
"YCL030C","HIS4",0,1.45080215287982,FALSE,"gde1"
"YGL062W","PYC1",0,-1.22236356772417,FALSE,"gde1"
"YHR070W","TRM5",0,-1.14168473633533,FALSE,"gde1"
"YJL130C","URA2",0,-1.14723406091363,FALSE,"gde1"
"YKL106W","AAT1",0,-1.89217824408715,FALSE,"gde1"
"YLR420W","URA4",0,-1.07603697729745,FALSE,"gde1"
"YLR438W","CAR2",0,-1.08463972632544,FALSE,"gde1"
"YML080W","DUS1",0,-1.45894118569227,FALSE,"gde1"
"YML092C","PRE8",0,-1.64737705173277,FALSE,"gde1"
"YNL036W","NCE103",0,-2.16223433150336,FALSE,"gde1"
"YOL058W","ARG1",0,1.3292384331173,FALSE,"gde1"
"YAL023C","PMT2",0,-0.29440244507348,TRUE,"gis2"
"YAL032C","PRP45",0,1.14195588558364,FALSE,"gis2"
"YBL002W;YDR224C","HTB2;HTB1",0,0.0120680233090903,TRUE,"gis2"
"YDR225W;YBL003C","HTA1;HTA2",0,0.13198450875653,TRUE,"gis2"
"YBL017C","PEP1",0,0.124460486274336,TRUE,"gis2"
"YBL064C","PRX1",0,1.17587585097706,FALSE,"gis2"
"YBL098W","BNA4",0,1.04152336218435,FALSE,"gis2"
"YBR015C","MNN2",0,0.311619363406843,TRUE,"gis2"
"YBR056W","YBR056W",0,1.0124971626829,FALSE,"gis2"
"YBR057C","MUM2",0,1.2218152278737,FALSE,"gis2"
"YBR072W","HSP26",0,1.88346441810232,FALSE,"gis2"
"YBR087W","RFC5",0,-1.06706198498277,FALSE,"gis2"
"YBR111C","YSA1",0,0.934101277798241,TRUE,"gis2"
"YBR126C","TPS1",0,1.52411383815412,FALSE,"gis2"
"YBR149W","ARA1",0,1.06660588420444,FALSE,"gis2"
"YBR169C","SSE2",0,1.64565555061798,FALSE,"gis2"
"YBR229C","ROT2",0,0.175045486110914,TRUE,"gis2"
"YBR230C","OM14",0,1.25707098075246,FALSE,"gis2"
"YCL040W","GLK1",0,2.08014597862949,FALSE,"gis2"
"YDL022W","GPD1",-1.22887504687163,1.29719141656586,FALSE,"gis2"
"YDL124W","YDL124W",0,1.27351588970212,FALSE,"gis2"
"YDR001C;YBR001C","NTH1;NTH2",0,1.29725012117171,FALSE,"gis2"
"YDR032C","PST2",0,1.22354611595282,FALSE,"gis2"
"YDR074W","TPS2",0,1.5856356013623,FALSE,"gis2"
"YDR135C","YCF1",0,0.581399456723873,TRUE,"gis2"
"YDR171W","HSP42",0,1.7040308847996,FALSE,"gis2"
"YDR297W","SUR2",0,-0.375477942023138,TRUE,"gis2"
"YDR328C","SKP1",0,0.396707521383976,TRUE,"gis2"
"YDR358W","GGA1",0,1.11948898519966,FALSE,"gis2"
"YDR454C","GUK1",0,0.00460925325258967,TRUE,"gis2"
"YDR487C","RIB3",0,-0.171920907324401,TRUE,"gis2"
"YDR516C","EMI2",0,1.49646234958226,FALSE,"gis2"
"YDR518W","EUG1",0,0.20426594528956,TRUE,"gis2"
"YDR533C","HSP31",0,1.73980490759039,FALSE,"gis2"
"YEL024W","RIP1",0,1.13323470635714,FALSE,"gis2"
"YER048W-A","ISD11",0,0.351967480859441,TRUE,"gis2"
"YER062C","GPP2",0,1.58164048033753,FALSE,"gis2"
"YER103W","SSA4",0,1.10755397028965,FALSE,"gis2"
"YFL048C","EMP47",0,0.0824300999459491,TRUE,"gis2"
"YFR053C","HXK1",0,2.66218270808274,FALSE,"gis2"
"YGL037C","PNC1",0,1.90715987355099,FALSE,"gis2"
"YGL043W","DST1",0,0.100977647724821,TRUE,"gis2"
"YGR019W","UGA1",0,1.40669992332655,FALSE,"gis2"
"YGR156W","PTI1",0,0.729965997446928,TRUE,"gis2"
"YGR167W","CLC1",0,0.402176424979483,TRUE,"gis2"
"YGR175C","ERG1",0,-0.453340093559165,TRUE,"gis2"
"YGR254W","ENO1",-0.252810272777515,1.09929520433778,FALSE,"gis2"
"YHL021C","AIM17",0,2.21400042972961,FALSE,"gis2"
"YHR104W","GRE3",0,1.20626812452098,FALSE,"gis2"
"YIL155C","GUT2",0,1.64814327419417,FALSE,"gis2"
"YIR035C","YIR035C",0,1.08161232285789,FALSE,"gis2"
"YIR038C","GTT1",0,1.3872522388335,FALSE,"gis2"
"YJL052W","TDH1",0.391547780167342,1.79547605252162,FALSE,"gis2"
"YJL172W","CPS1",0,0.479954831690671,TRUE,"gis2"
"YJL186W","MNN5",0,-0.0912178291000666,TRUE,"gis2"
"YJR025C","BNA1",0,1.19383481065384,FALSE,"gis2"
"YKL035W","UGP1",0,1.01613970265525,FALSE,"gis2"
"YKL103C","APE1",0,1.32509853776749,FALSE,"gis2"
"YKL150W","MCR1",1.63203550398342,1.5129347839967,FALSE,"gis2"
"YKL151C","YKL151C",0,1.88479326254353,FALSE,"gis2"
"YKL168C","KKQ8",0,1.03541276817742,FALSE,"gis2"
"YKR066C","CCP1",0,0.795600729101306,TRUE,"gis2"
