YCL043C_7_CDS_S
YGR173W_2_CDS_S
YGR173W_3_CDS_S
YEL009C_13_CDS_S
YEL009C_14_UTR5_S
YDL055C_5_CDS_S
YPL037C_3_CDS_S
YGL008C_32_UTR5_S
YGL008C_33_UTR5_S
YAR002C-A_0_CDS_S
YAR002C-A_1_CDS_S
YNL301C_4_UTR3_S
YNL301C_5_UTR3_S
YNL301C_6_UTR3_S
YNL301C_7_UTR3_S
YIR035C_8_CDS_S
YGL055W_12_CDS_S
YNL096C_2_UTR3_S
YLR075W_1_CDS_S
YLR075W_3_CDS_S
YPR128C_5_CDS_S
YDR072C_1_CDS_S
YGR220C_1_CDS_S
YGL245W_18_CDS_S
YBR234C_4_CDS_S
YDL070W_28_CDS_S
YBR262C_4_CDS_S
YKL008C_8_CDS_S
YPL048W_9_CDS_S
YDL198C_5_CDS_S
YDR064W_3_UTR5_S
YDR064W_4_UTR5_S
YIL018W_1_UTR3_S
YIL018W_2_UTR3_S
YML092C_3_CDS_S
YKL138C_6_UTR5_S
YPR062W_1_CDS_S
YLR029C_3_CDS_S
YML010W_48_CDS_S
YPL220W_1_UTR3_S
YGL172W_12_CDS_S
YDL143W_13_UTR3_S
YPL231W_1_CDS_S
YAL038W_2_CDS_S
YAL038W_7_CDS_S
YBR092C_3_CDS_S
YKL211C_11_CDS_S
YDR225W_7_CDS_S
YGL135W_0_UTR3_S
YCL017C_8_CDS_S
YMR186W_0_CDS_S
YKL029C_5_CDS_S
YJR016C_5_CDS_S
YAL023C_4_CDS_S
YAL023C_14_CDS_S
YLR249W_35_CDS_S
YKL152C_4_CDS_S
YKL152C_5_CDS_S
YFR009W_28_CDS_S
YCR004C_6_CDS_S
YOR369C_3_CDS_S
YJR123W_1_CDS_S
YKL104C_10_CDS_S
YPL106C_0_CDS_S
YML106W_3_UTR5_S
YOR203W_34_UTR3_S
YOR203W_35_UTR3_S
YOR203W_37_UTR3_S
YOR203W_39_UTR3_S
YOR203W_40_UTR3_S
YOR203W_41_UTR3_S
YKL127W_2_CDS_S
YDL205C_5_CDS_S
YKL006C-A_3_UTR3_S
YKL006C-A_4_UTR3_S
YPL064C_7_CDS_S
YNL287W_26_CDS_S
YLR044C_17_CDS_S
YJL034W_2_CDS_S
YML123C_8_CDS_S
YMR229C_22_CDS_S
YDR264C_18_CDS_S
YJR064W_3_CDS_S
YJR064W_4_CDS_S
YEL071W_6_CDS_S
YDR033W_9_UTR3_S
YNL112W_2_UTR5_S
YNL112W_11_CDS_S
YCR072C_1_CDS_S
YML052W_4_CDS_S
YML052W_5_CDS_S
YJL080C_8_CDS_S
YLR048W_6_UTR3_S
YGL211W_13_CDS_S
YJR077C_1_CDS_S
YLR449W_0_CDS_S
YDR236C_1_CDS_S
YLR264W_11_UTR3_S
YOL088C_6_CDS_S
YBR069C_20_CDS_S
YGL215W_4_CDS_S
YMR142C_2_UTR3_S
YEL051W_3_CDS_S
YGR094W_30_CDS_S
YJL183W_17_UTR3_S
YOL058W_5_UTR3_S
YOL058W_6_UTR3_S
YJL050W_26_CDS_S
YOL123W_21_CDS_S
YOR202W_2_UTR3_S
YOR164C_1_UTR3_S
YCR012W_6_CDS_S
YGL234W_1_CDS_S
YFL039C_8_UTR3_S
YFL039C_13_UTR3_S
YLR336C_4_CDS_S
YOR382W_2_CDS_S
YPR102C_1_CDS_S
YOR335C_10_CDS_S
YGR285C_3_CDS_S
YGR285C_4_CDS_S
YGR229C_11_CDS_S
YBL091C_2_CDS_S
YKL040C_8_CDS_S
YER091C_3_CDS_S
YPR132W_1_UTR3_S
YJL190C_5_CDS_S
YJL190C_6_CDS_S
YMR205C_6_CDS_S
YKL060C_3_CDS_S
YKL060C_4_CDS_S
YJL121C_5_CDS_S
YJR045C_3_CDS_S
YJR045C_19_CDS_S
YJR045C_20_CDS_S
YGR024C_8_CDS_S
YJR120W_5_UTR3_S
YJR120W_10_UTR3_S
YJR120W_11_UTR3_S
YOR052C_0_UTR3_S
YER177W_3_CDS_S
YJR085C_2_UTR5_S
YBL099W_2_CDS_S
YBL099W_3_CDS_S
YMR236W_1_CDS_S
YDR044W_1_CDS_S
YER049W_3_CDS_S
YAL035W_17_CDS_S
YDL226C_4_CDS_S
YMR243C_3_UTR3_S
YMR243C_4_CDS_S
YHR071W_0_UTR5_S
YHR071W_4_UTR5_S
YER110C_17_CDS_S
YJR025C_2_CDS_S
YML070W_1_CDS_S
YML070W_2_CDS_S
YPL207W_30_CDS_S
YBL039C_19_UTR5_S
YDR354W_3_CDS_S
YDR354W_4_CDS_S
YDR354W_5_CDS_S
YDR449C_7_CDS_S
YGL103W_5_CDS_S
YEL036C_6_CDS_S
YPL160W_26_CDS_S
YLR175W_8_CDS_S
YMR108W_20_CDS_S
YEL027W_7_UTR3_S
YOL086C_0_CDS_S
YOL086C_2_CDS_S
YOL086C_3_CDS_S
YNL190W_5_UTR3_S
YNL190W_6_UTR3_S
YJL010C_2_CDS_S
YLR150W_4_CDS_S
YGL215W_4_CDS_L
YAR002C-A_0_CDS_L
YAR002C-A_1_CDS_L
YLR075W_1_CDS_L
YDR064W_3_UTR5_L
YPL231W_1_CDS_L
YAL038W_2_CDS_L
YKL029C_5_CDS_L
YJR016C_5_CDS_L
YAL023C_4_CDS_L
YPL106C_0_CDS_L
YJL034W_2_CDS_L
