"","APM3","DBP3","MRH1","NSR1","SSZ1","YBL028C","ZUO1"
"YAL005C",0.164657575253662,-0.0294113548012644,0.138683427979272,0.356707252935381,1.30104190013255,0.0662614422687213,-0.276415227803859
"YAL038W",0.0374541009467485,0.0747239181552892,-0.042229443757058,0.369112855433703,-1.31537358095397,0.00515472679261916,0.181367881077196
"YBL015W",0.561106140767789,-0.583635831457868,-0.198824785091249,-1.00555061296763,-0.595598203406504,-0.0744562413015066,0.371168515498428
"YBL016W",0,0,0.480678738754798,0.517023672064581,0.711318688860582,0.250719083400555,1.15555496084056
"YBL017C",0.421802281157266,0,-0.0502484455447818,-1.20200756758231,-0.50125895478464,-0.414710525458542,0
"YBL045C",0.543198900193333,-0.0529248801750054,-0.229872919226496,-1.34120812780525,-0.479814133946972,0.0203421795171858,0.491904391241447
"YBL099W",0.294194309759318,0.0972062459743658,-0.298063289794343,-1.08027092864423,-0.158799744808926,-0.0309287329715988,0.360195694732358
"YBR026C",0.466235562150405,-0.168771306825942,-0.282508911753965,-1.20736117223176,-1.07883791395629,-0.0253679037446444,-0.504693701207835
"YDR025W",-0.71344253663119,0.56686385175578,0.43349363984688,1.8083438596315,1.61800366984025,0.19428489769283,0.852478323642387
"YBR052C",0.56676645462218,-0.234142804900223,-0.339418160694912,-1.52275787768774,-1.11481613367965,-0.184195069727141,-0.654512784805728
"YBR056W",0.691623493115934,-0.202505512239478,-0.373065642479584,-1.48697422580801,-1.29853078695958,-0.027616134156245,-0.128913373699257
"YBR120C",0.849839173464947,-0.367266474049465,-0.489139326032385,0,-1.20419981077935,-0.0843184900525827,-0.339618964757589
"YBR126C",0.616075341571405,-0.225430085637142,-0.518081122165209,-2.64981961485606,-2.23121013511956,-0.115550556281893,-1.05619116867375
"YBR149W",0.433173124044276,0.149649581894975,-0.268347524309887,-1.59031037204674,0,-0.00668069540577742,-0.781330409079264
"YBR169C",0.765195248763837,-0.598828298186555,-0.698108044145844,0,-1.59505329256036,-0.000735962157159511,-0.44701312195081
"YBR177C",0.429214229839585,0.194339249484463,-0.282754599338308,-1.18128030173252,-0.67638782061888,-0.0636805489976076,0.0182068566533119
"YCL030C",0.518031492602169,1.80558137846452,0.706817847339761,0.124063396027078,1.09295160099135,0.545573056035032,0.471031344271528
"YCL040W",0.963548106438987,-0.230346727377239,-0.596557746663085,-4.39899956757649,-2.33934514796477,0.000144262291094538,-0.816189570570603
"YCR030C",0,0,0,0,0,0.347892388195338,1.00834345852933
"YDL022W",1.27041388370029,-0.347821006853334,-0.798640512666527,-1.39441084868889,-0.549089259958742,0.022190239634066,0.53318095157596
"YDL060W",0,0,0.250112679692375,0,1.24835266617305,0.49015934028372,0
"YDL081C",0,0,0,1.02955889744912,0,0,0
"YDL086W",0,-0.337903903170497,-0.130160171624309,-1.02321113437494,-0.220193987279324,-0.150833381786398,0
"YDL124W",0.540126488338107,0.131326074606591,-0.468072134491023,-2.48810695709678,-1.64345048884349,-0.0333332867291359,-0.379807745446452
"YDL168W",-0.292917008228294,0.731443946034715,0.262312877916334,0.889629290673427,1.25906152925887,0.116497840501748,0.966430467306298
"YDL215C",0,0,0,0,0,0,1.35326682449854
"YDR007W",0,0,-0.815707008650431,-1.18931835190742,-0.756745265955646,-0.256235161660721,0
"YDR019C",0.870187146189016,1.26333493599651,0.0388575500203621,-1.61705613043101,0.202386375334789,0.203138497190849,-0.22716842514745
"YDR032C",0.427069755210786,-0.584111561649381,-0.500299505643589,-1.55618120308751,-1.4872573252633,-0.1327044546901,-1.02646953970618
"YDR033W",-0.395966642489667,0,-1.69310784902393,1.21983452388537,0,0,0
"YDR074W",0.572307623614049,-0.267496340898941,-0.441125043249171,-2.54237419139247,-2.18935125221735,0.00460925325258967,-0.69070737694248
"YDR120C",-0.440400508740829,-1.39281884643288,0.303108551381075,0.832849516893454,0.746140750800969,-0.274005876068896,0
"YDR145W",0,1.85103938570873,0.0832474137479361,0.383718114635775,0.902189376272068,0,0
"YDR148C",0.396159489073155,-0.281035664240461,-0.230414426960358,-1.19908974894165,-0.920625302538248,-0.0282044849824283,-0.00598515530710552
"YDR156W",0,0.154064673674717,0,1.09044698023265,0,0.498557248099017,0
"YDR171W",1.32481060342048,-0.0311056187369514,-0.208077600570121,-1.83084464116911,-1.70627639009507,0.010636636108737,-0.796736187278919
"YDR172W",-0.334388930966485,0.366476093510096,0.426640477504461,0.559051228367016,1.32054244242846,-0.00768112214262937,0.613343053003822
"YDR212W",1.37586995804072,-0.0267634514215136,-0.049949710715862,0.210264166313091,0.124460486274336,0.0179219079972623,-0.11074453311953
"YDR214W",-0.110542033207933,0.54399071966485,0.406427824526981,1.11796095273242,1.36126304699088,0.151209392884894,0.816722571001302
"YDR258C",0,0,-1.41703942472486,0,0,-0.397581128488354,0
"YDR298C",0.298071734933995,0.0543622884496891,-0.415191394957787,-1.17667454457417,-0.496793760268524,-0.0112098981029583,0.294194309759318
"YDR513W",0.666120302595831,0.171719239087848,-0.162105185048984,-1.01025061102363,0,-0.00495695002773466,-0.960468516476106
"YDR533C",0.989211685388494,-0.178387736468615,-0.213838603047065,-0.478326073029115,0,0.0973411087967018,-1.10398396399255
"YEL024W",0.724562965306671,0,-0.813119168652766,0,-1.18829881426186,-0.19619434807697,-0.262538204081537
"YEL060C",0,-0.605661472540798,-0.397961270261205,-1.03723630077954,0,0.00547185121005949,0
"YEL071W",-0.542794471361911,-0.0580974209493663,0.226138560569343,0.728225293759776,1.04243422088883,0.0482361856528476,0.170694233687083
"YER025W",-0.463768017697509,0.63876894441695,0.373063498633161,1.3191554578247,1.53838916849661,-0.0560861728554325,1.14685069600919
"YER062C",0.410775259008242,0.126840735277693,-0.319711654714093,-1.83742901276485,-1.46191880354872,-0.0187172324834124,-0.83603761882213
"YER067W",0,0,0,0,0,0,-1.27977407696924
"YER069W",0.729008870337863,-0.209111216974027,0.284869433096032,0.347892388195338,1.17900139909924,0.119289768374751,0
"YER072W",-0.272454150364274,1.09484410354172,0.716595881994142,1.3311319222172,1.25676914276134,0.711054321812066,0.273336847150222
"YER082C",0,0,0.564036661866608,0.97731656290871,0.929942453814573,0.0546401305383454,1.15814310351053
"YER122C",0,0.600079411792139,0.0694272104560142,0,1.03625714904777,0.0690146779151805,0.663207972480647
"YFL045C",0.0839281550623593,-0.216518200847281,-1.19533681415396,-0.660543318707604,-0.582036798372344,-0.077802151603633,-0.366447891983077
"YFR014C",0.809579079068998,-0.180609756200523,-0.21464195993514,-1.84461342924867,0,-0.188035824689806,0
"YFR024C-A",0.00201836053430563,1.00151403506355,0.263875732577862,0,-0.000779265742771839,0,0
"YFR044C",0.13198450875653,0.0870554345433757,-2.27839376488487,-0.378438047682806,-0.22497475068957,-0.0264695397061816,-0.0815374345020278
"YFR053C",1.22878791267338,-0.649955434137306,-0.665202924866115,-0.450951900854958,-2.41626912461531,-0.0331118412666236,-0.752631449325718
"YGL008C",-0.262486285854458,0.56530470802725,0.321675411632335,0.227001674589038,1.14990966753492,0.197739606006356,1.11802742259079
"YGL009C",0.0802459284015601,0.643671512989925,0.171719239087848,0.312432836809219,2.0970713705439,0.366252263699564,0.408593540191906
"YGL027C",0,0,-0.296633471993364,0,-1.11941633867726,-0.436041408159163,1.02119542451449
"YGL037C",0.631802754924129,-0.10096361758377,-0.599287208887557,-3.12092162883127,-1.87265726935465,-0.11153923044196,-0.564755464615819
"YGL062W",-1.17984146526984,0.321119959365393,-0.320522152508083,0.0994972011701899,0.331819848022602,-0.176805001908128,0.387200436428096
"YGL092W",-0.404591822143369,0.58072437630872,0.631244003933066,0,1.14580786241265,0,0
"YGL248W",0,-0.368644228555188,0,-1.14947258272777,0,0.109159938961111,0
"YGR019W",0.757961973312919,-0.253480841894421,-0.45314257233201,-0.80917025270003,-1.22054695253234,0.312897472897257,0
"YGR054W",-0.482411861700158,0.679333711313673,0.374733478031214,0.591775146675389,1.11083092416134,0.238909116698404,0.670930954583321
"YGR086C",0.337311477330957,-0.193783194834015,-0.276013389653864,-0.747124185921407,-1.09064930354447,-0.0664726827138921,-0.711913168499822
"YGR088W",1.62961307640255,-0.670267872665822,-0.814463251247626,0,0,-0.00988741120677837,-0.821457440941658
"YGR130C",0,-0.246840491676398,-0.163995104757907,-1.02066238370325,-0.799822113486673,0.230326000028692,-0.0638614965760324
"YGR145W",-0.169371473421769,0,0.358508792282431,0,1.10507459410112,0,0.934554243277908
"YGR157W",0,0,-0.0187464634638792,-0.921362841792664,1.14038603228306,-0.036599862283285,0
"YGR177C",0,0,0,1.21456003561392,0.810730997150753,0,0
"YGR207C",0.376401526593598,0.120086470672526,-0.00504381227358471,-1.03117932754051,-0.56096203715729,0.0353423807921971,-0.0396365703724868
"YGR234W",0.462261769296349,0.058939854556233,0.689656993994882,1.61767462546868,0,0.302640751428568,0
"YGR244C",0.455018096969725,-0.330900647886702,-0.306876619581937,-1.29477404338364,-1.0497257001816,-0.0338353556539486,-0.668684598825297
"YGR248W",0,0,0,0,0,-0.0990617230393717,-1.22657749227985
"YGR254W",1.1526552787629,-1.15447381940614,-1.82024381215447,-2.39236431112953,-1.75479226503562,-1.31546541635915,-0.877219928095587
"YGR285C",-0.297927631323496,0.214124805352847,0.0828388147248918,0.410232545598205,-0.32926841407446,0.0336520524899971,-2.44693445595439
"YHL021C",1.05727696507325,0,-0.797914583231261,0,-1.7413001844301,-0.0406007652278788,-0.5810221158078
"YHL033C",-0.026028784371871,-0.568074573290736,-0.0160742779186432,0.419538891513784,-0.0268369387070642,-0.0864920538449343,-1.20626222968109
"YHR008C",0.653702091393461,-0.394941906738488,-0.340438025144158,-1.31018200989998,-0.97644655701321,-0.0985982264116616,-0.262815132851903
"YHR051W",0,0,-0.154040334171997,-1.03362860023003,0,0,0.231923873293764
"YHR064C",-0.749830862196839,-0.604528162761066,0.202640446197219,-0.376698450431964,-1.33162667831866,-0.0166141568258916,0.0557509641184532
"YHR066W",-0.367061784985465,0.0561673063004266,0,0,1.06295060882281,0,0
"YHR098C",0.360308084795196,0.150039692774153,1.21269383790515,-0.129071136670413,0.169925001442312,0.128029388740641,0.632640475865632
"YHR104W",0.442863896685096,-0.305342634452914,-0.353984846360972,-1.4676531147192,-1.46498223160493,-0.158767533885687,-0.474893305767796
"YNL162W",-0.559047801970363,0.384712962422046,0.60143383706923,1.03768496603739,1.4431292101531,0.146724337474605,1.09193673821059
"YHR170W",-0.329957354226462,0.345623464175129,0,0,1.10379974315767,0,0
