"construct","ratio.avg plate1","ratio.se plate1","ratio.sd plate1","ratio.val plate1","ratio.avg Plate1_SD-G","ratio.se Plate1_SD-G","ratio.sd Plate1_SD-G","ratio.val Plate1_SD-G","ratio.avg Plate2_SD-N","ratio.se Plate2_SD-N","ratio.sd Plate2_SD-N","ratio.val Plate2_SD-N","ratio.avg plate3_LZM","ratio.se plate3_LZM","ratio.sd plate3_LZM","ratio.val plate3_LZM","ratio.avg plate4_Znshock","ratio.se plate4_Znshock","ratio.sd plate4_Znshock","ratio.val plate4_Znshock"
"P2E6",0.226575407127685,0.00820643788091278,0.0142139673588988,"0.232947840453151:0.236488081189521:0.210290299740382",0.391639163916392,0.0154015401540154,0.0266762500615669,"0.407040704070407:0.407040704070407:0.360836083608361",0.297271190533688,0.0221419208107609,0.0383509318214045,"0.267326732673267:0.283989374547211:0.340497464380584",0.175639713408393,0.0028365212815867,0.00491299897645855,"0.175639713408393:0.170726714431934:0.180552712384852",0.156184265881363,0.0198779974758098,0.0281117336231084,"0.176062263357173:0.136306268405553"
"P2F10",0.784045315081426,0.0403904767684153,0.0699583579048257,"0.737786169459523:0.864526787821572:0.749822987963182",0.87055372203887,0.0599074746838266,0.103762789905534,"0.854785478547855:0.981298129812981:0.775577557755776",0.744747645496257,0.0621984024106678,0.107730793124891,"0.673025839169283:0.868630765515576:0.692586331803912",0.688229273285568,0.0501146633591279,0.0868011431422199,"0.598157625383828:0.771340839303992:0.695189355168884",0.739377366428271,0.0975720944071565,0.168999824914102,"0.711190576356752:0.920698359276399:0.586243163651662"
"P2F7",0.756903469435922,0.0429192443532174,0.0743383118422362,"0.795138069388718:0.804342695303281:0.671229643615766",0.760909424275761,0.14665520485998,0.254014266011908,"0.928492849284928:0.885588558855886:0.468646864686469",0.686790630282541,0.0260134904795851,0.0450566871928507,"0.725911615551799:0.696933107944941:0.637527167350881",0.673285568065507,0.0371741463244667,0.0643875101619762,"0.70317297850563:0.717297850562948:0.599385875127943",0.746213714766512,0.0192469499368952,0.0272192976350732,"0.765460664703408:0.726966764829617"
"P2G2",0.590984186924711,0.0755483649667506,0.130853606551169,"0.649280151050271:0.68255841397215:0.441113995751711",0.808580858085809,0.0545341003154274,0.0944558324913781,"0.916391639163916:0.768976897689769:0.74037403740374",0.663849311760444,0.00846240785700809,0.0146573203627081,"0.673025839169283:0.67157691378894:0.64694518232311",0.664278403275333,0.0230230856012109,0.0398771540083047,"0.70992835209826:0.646673490276356:0.636233367451382",0.689734960033656,0.0687841817416912,0.0972755226958355,"0.758519141775347:0.620950778291965"
"P2G8",0.251121076233184,0.00472032098182676,0.00817583576855735,"0.260561718196837:0.246400755251357:0.246400755251357",0.390539053905391,0.00386345938865153,0.00669170795412344,"0.393839383938394:0.394939493949395:0.382838283828383",0.30837961844965,0.0174339972448974,0.0301965690071781,"0.302100941801497:0.281815986476696:0.341221927070756",0.175844421699079,0.00655066530194473,0.0113460851263468,"0.182395087001024:0.182395087001024:0.162743091095189",0.156184265881363,0.0268195204038704,0.0379285294914955,"0.183003786285233:0.129364745477493"
"PRC1mut",6.54142081661553,0.78842513307451,1.3655923884493,"8.08661789001652:5.49657776728818:6.04106679254189",3.20865419875321,1.3150713312738,2.27777036134347,"5.37073707370737:3.42464246424642:0.830583058305831",4.15213716493601,0.504578830056837,0.873956170082104,"4.9415600096595:3.21299203091041:4.30185945423811",3.67369498464688,0.319510428733808,0.55340829611507,"4.29089048106448:3.22169907881269:3.50849539406346",5.60054690786706,0.875180809996631,1.51585762872345,"7.22864955826672:5.3430795119899:4.22991165334455"
"PRC1wt",0.79183384470144,0.0313581762391019,0.0543139544788236,"0.852489969317914:0.775312721265046:0.74769884352136",0.850751741840851,0.0707851432268058,0.122603464489868,"0.96039603960396:0.873487348734873:0.718371837183718",0.716735088142961,0.0269006740206569,0.0465933341616259,"0.71142236174837:0.673025839169283:0.765757063511229",0.708904810644831,0.0210879349186095,0.0365253747057375,"0.742476970317298:0.714227226202661:0.670010235414534",0.718552797644089,0.0966157848509157,0.167343448174929,"0.842448464450989:0.78502313840976:0.528186790071519"
"SFT2mut",0.762331838565022,0.0167072025328342,0.0289377236392122,"0.788765636063252:0.766816143497758:0.731413736134057",0.814081408140814,0.0146497868393386,0.0253741751257883,"0.811881188118812:0.84048404840484:0.78987898789879",0.8756339048539,0.0389918296358538,0.0675358300093687,"0.952668437575465:0.826611929485632:0.847621347500604",0.646673490276356,0.01973179805298,0.03417647675245,"0.623950870010235:0.685977482088025:0.630092118730809",0.675431215818258,0.0694881757430559,0.120357050912248,"0.718132099284813:0.768615902397981:0.539545645771981"
"media",0.228699551569507,0,0,"0.228699551569507",0.418041804180418,0,0,"0.418041804180418",0.155759478386863,0,0,"0.155759478386863",0.168270214943705,0,0,"0.168270214943705",0.759781236853176,0,0,"0.759781236853176"
"unstained",0.212414444182204,0,0,"0.212414444182204",0.319031903190319,0,0,"0.319031903190319",0.169524269500121,0,0,"0.169524269500121",0.146161719549642,0,0,"0.146161719549642",0.147034076567101,0,0,"0.147034076567101"
