Pfam RNA binding domains	number of proteins in RBP census
MIF4G_like	1
MIF4G_like_2	1
MPP6	1
MRP-63	1
MRP-L27	1
MRP-L28	1
MRP-L46	1
MRP-L47	1
MRP-L51	1
MRP-S22	1
MRP-S23	1
MRP-S24	1
MRP-S26	1
MRP-S28	1
MRP-S31	1
MRP-S32	1
MRP-S33	1
MRP-S35	1
MRP_L53	1
MTS	1
Maelstrom	1
Mago-bind	1
Methyltransf_15	1
Methyltransf_8	1
Methyltrn_RNA_3	1
Mitoc_L55	1
Mpp10	1
Myb_Cef	1
NMD3	1
NOB1_Zn_bind	1
NOC3p	1
NOG1	1
NOGCT	1
NUC129	1
NUC173	1
NUC205	1
NUDIX_2	1
NUFIP1	1
NUFIP2	1
Noc2	1
Nop10p	1
Nop14	1
Nop16	1
Nop53	1
Not1	1
Not3	1
Npa1	1
Nrap	1
OB_RNB	1
P68HR	1
PC4	1
PHAT	1
PHF5	1
PMC2NT	1
PNPase	1
POP1	1
POPLD	1
PPR	1
PRO8NT	1
PROCN	1
PROCT	1
PRP1_N	1
PRP21_like_P	1
PRP3	1
PRP8_domainIV	1
PTS_2-RNA	1
Paf67	1
Pept_tRNA_hydro	1
Pescadillo_N	1
PolyA_pol	1
Pox_MCEL	1
ProRS-C_1	1
Prp18	1
Prp19	1
Prp31_C	1
RAI1	1
RAM	1
RNA_GG_bind	1
RNA_POL_M_15KD	1
RNA_bind	1
RNA_pol	1
RNA_polI_A34	1
RNA_pol_I_A49	1
RNA_pol_N	1
RNA_pol_Rpb1_1	1
RNA_pol_Rpb1_2	1
RNA_pol_Rpb1_3	1
RNA_pol_Rpb1_4	1
RNA_pol_Rpb1_5	1
RNA_pol_Rpb1_R	1
RNA_pol_Rpb2_1	1
RNA_pol_Rpb2_3	1
RNA_pol_Rpb2_4	1
RNA_pol_Rpb2_5	1
RNA_pol_Rpb2_6	1
RNA_pol_Rpb2_7	1
RNA_pol_Rpb4	1
RNA_pol_Rpb5_C	1
RNA_pol_Rpb5_N	1
RNA_pol_Rpb6	1
RNA_pol_Rpb8	1
RNase_H	1
RNase_H2-Ydr279	1
RNase_H2_suC	1
RNase_HII	1
RNase_P_p30	1
ROKNT	1
RRF	1
RRM_4	1
RRP7	1
RRS1	1
RTC	1
RTC_insert	1
RVT_1	1
Ribonuc_L-PSP	1
Ribonuc_P_40	1
Ribonucleas_3_3	1
Ribonuclease_T2	1
Ribosomal_L12	1
Ribosomal_L13e	1
Ribosomal_L14e	1
Ribosomal_L15e	1
Ribosomal_L17	1
Ribosomal_L18ae	1
Ribosomal_L19	1
Ribosomal_L19e	1
Ribosomal_L20	1
Ribosomal_L21e	1
Ribosomal_L21p	1
Ribosomal_L23eN	1
Ribosomal_L27	1
Ribosomal_L27e	1
Ribosomal_L28	1
Ribosomal_L29	1
Ribosomal_L29e	1
Ribosomal_L31e	1
Ribosomal_L32e	1
Ribosomal_L32p	1
Ribosomal_L33	1
Ribosomal_L34	1
Ribosomal_L34e	1
Ribosomal_L35Ae	1
Ribosomal_L35p	1
Ribosomal_L36	1
Ribosomal_L36e	1
Ribosomal_L37	1
Ribosomal_L37ae	1
Ribosomal_L37e	1
Ribosomal_L38e	1
Ribosomal_L40e	1
Ribosomal_L41	1
Ribosomal_L5	1
