"","ratio.avg","ratio.se","ratio.sd","ratio.val"
"unstained",0.187545967148811,0,0,"0.187545967148811"
"P2E6",0.208874724197107,0.00709265807378742,0.0122848441445134,"0.211081147340034:0.195636185339544:0.219906839911743"
"P1E1",0.21304241235597,0.00427447800298179,0.00740361307700001,"0.219906839911743:0.214023044863937:0.205197352292228"
"P2G8",0.214023044863937,0.0042462633183841,0.00735474380975729,"0.221377788673695:0.214023044863937:0.20666830105418"
"P1E1mut1",0.225300318705565,0.0061875113822623,0.010717084086489,"0.226526109340525:0.235351801912233:0.214023044863937"
"Null",0.257416033341505,0,0,"0.257416033341505"
"P1E1mut2",0.260357930865408,0.0106664917469022,0.0184749056441488,"0.250061289531748:0.249325815150772:0.281686687913704"
"P1G9",0.425104192203972,0.0275876430500285,0.0477831994237238,"0.469232655062515:0.374356459916646:0.431723461632753"
"P1E9",0.442265261093405,0.0502717647046719,0.0870732506546395,"0.536896298112282:0.424368717822996:0.365530767344937"
"P1F9",0.509193429762197,0.0766792545432869,0.13281236475548,"0.661191468497181:0.450845795538122:0.415543025251287"
"media",0.546457465064967,0,0,"0.546457465064967"
"P2G2",0.5545476832557,0.0715882720074338,0.123994524342936,"0.664133366021084:0.579553812208875:0.419955871537141"
"P2E10",0.561412110811473,0.0294567462032406,0.0510205810496743,"0.600882569257171:0.579553812208875:0.503799950968375"
"P2B6",0.599656778622211,0.0198275187502778,0.0343422698635057,"0.583231184113753:0.576611914684972:0.639127237067909"
"P1D9",0.623191958813435,0.0242533139645242,0.0420079720384757,"0.661191468497181:0.6303015444962:0.578082863446923"
"P2C2",0.633488600147095,0.0473459946792131,0.0820056683192828,"0.583231184113753:0.589114979161559:0.728119637165972"
"P1B9",0.661681784751164,0.0319581273757158,0.0553531003294975,"0.711939200784506:0.602353518019122:0.670752635449865"
"P1B6",0.670262319195881,0.0175916971815741,0.0304697133098526,"0.63544986516303:0.692081392498161:0.683255699926453"
"P2A2",0.672223584211817,0.027212552096102,0.0471335228340635,"0.645011032115715:0.726648688404021:0.645011032115715"
"P2F7",0.690120127482226,0.0831989534802405,0.144104814564336,"0.803873498406472:0.738416278499632:0.528070605540574"
"P2D6mut",0.698945820053935,0.0214607901276929,0.0371711788717366,"0.697229713164991:0.662662417259132:0.736945329737681"
"P2A10",0.708752145133611,0.0542730483467067,0.094003677218138,"0.798725177739642:0.71635204707036:0.611179210590831"
"P1F11",0.739642069134592,0.0397390661374046,0.0688300815953246,"0.661191468497181:0.767835253738661:0.789899485167933"
"P2B2",0.741358176023535,0.0247451882931023,0.0428599233665118,"0.704584456974749:0.788428536405982:0.731061534689875"
"SFT2mut",0.762441774944839,0.018786216288961,0.0325386810944586,"0.728119637165972:0.76636430497671:0.792841382691836"
"P2F10",0.77788673694533,0.0695264298774863,0.120423309016681,"0.64059818582986:0.865653346408433:0.827408678597696"
"P2C6",0.802892865898505,0.087256664578771,0.151132976349427,"0.636920813924982:0.932581515077225:0.839176268693307"
"PRC1wt",0.820789409168914,0.0246831747510799,0.0427525127609717,"0.855356705074773:0.834027948026477:0.772983574405491"
"P1C9",0.93576857072812,0.0578510848005932,0.100201018147603,"1.03922530031871:0.839176268693307:0.928904143172346"
"GFP",1,0.0969100494132621,0.16785312934778,"1.02378033831822:1.1546947781319:0.82152488354989"
"PRC1mut",5.83378278989948,0.511199844208973,0.885424102991235,"6.85609217945575:5.33439568521696:5.31086050502574"
